codigo,titulo,gama,vendas,margem_bruta,carrinho_medio,numero_clientes
92220163,Evap Split On/off Gtop 12k Q/f 220v Gree,A,13 440,12.8,960.00,14
91047803,Lumin de Emergência Auto Lea 150 Intelb,A,13 308,25.4,46.85,284
90991005,Ar Cond Split 9k fr Tcl,B,13 133,15.2,1 876.15,7
89676916,Conj Sobrepor 2tom 2p+t 10a br Schneider,C,12 675,48.8,72.42,175
88326490,Canaleta 10x10 2m c Adesivo Dxn 10021,A,12 585,48.8,32.26,390
88507615,Disjuntor Bip Din Curva c 20a Steck,A,12 374,19.3,98.20,126
92145095,Evap Air Inv Connect 12k fr 220v Midea,B,12 303,15.9,768.92,16
91900410,Mini Aquecedor Oleo 900w 127v Equation,B,12 127,11.2,356.68,34
89281192,Conj Tom 2p+t 10a 4x2 Horiz br Stella,A,11 927,19.3,25.53,467
87849734,Pilha Alcalina Grande d C/2 Duracell,A,11 706,38.3,84.82,138
89391442,Benjamin ¨t¨2p+t 10a 3 Saidas br Daneva,A,11 580,32.0,13.15,880
92112790,Sup tv Articulado 23 a 70 Pto Brasforma,A,11 549,31.5,360.89,32
92219960,Evap Split Inv Gtop wf 12k Q/f 220v Gree,A,11 507,8.4,958.93,12
85873312,Fita Isolante 33+19mmx10m 3m,A,11 493,19.8,19.57,587
91822185,Conj 4x2 2tom 2p+t 20a Sup br Fs Madrid,A,11 440,35.1,73.33,156
91900445,Aquecedor Oleo 1500w 220v Equation,B,11 431,16.1,457.23,25
92197882,Cond Split Inv New 9k fr 220v,B,11 299,13.1,1 412.37,8
92229172,Evap Spt Inv Auto Wifi 12k Q/f 220 Gree,A,11 206,12.3,1 120.56,10
91854231,Aquecedor Lareira Aqc810 127v Cadence,B,11 190,7.0,799.25,14
92198001,Cond Split Inv New 18k Q/f 220v,B,11 070,8.4,2 214.00,5
92249682,Cond G-classic b 12k Q/f 220v Gree,A,11 022,9.0,1 836.99,6
